workflow,cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
Sera Sil 700,pbmc,16,Elongation factor 1-alpha 1,EEF1A1,P68104,P68104,7.26,31.54,34.0,4.23,1096.73
Sera Sil 700,pbmc,17,60S ribosomal protein L22,RPL22,P35268,P35268,7.26,30.32,7.0,,
Sera Sil 700,pbmc,18,Adenine phosphoribosyltransferase,APRT,P07741,P07741,7.21,33.0,12.0,,
Sera Sil 700,pbmc,19,60S ribosomal protein L18,RPL18,Q07020;Q07020-2,Q07020,7.19,27.87,3.0,,
Sera Sil 700,pbmc,20,"ATP synthase subunit beta, mitochondrial",ATP5F1B,P06576,P06576,7.16,34.08,44.0,3.88,1939.62
Sera Sil 700,pbmc,21,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,P30048;P30048-2,P30048,7.11,31.38,9.0,,
Sera Sil 700,pbmc,22,Calreticulin,CALR,P27797,P27797,7.1,34.05,22.0,4.72,232.73
Sera Sil 700,pbmc,23,Flavin reductase (NADPH),BLVRB,P30043,P30043,7.05,32.87,16.0,3.75,2010.66
Sera Sil 700,pbmc,24,Isoform 6 of Myosin-14,MYH14,Q7Z406-6,Q7Z406-6,7.05,23.84,4.0,,
Sera Sil 700,pbmc,25,Protein disulfide-isomerase,P4HB,P07237,P07237,7.04,25.15,26.0,4.98,115.25
Sera Sil 700,pbmc,26,Glutathione peroxidase 1,GPX1,P07203,P07203,7.04,32.08,19.0,3.71,2193.96
Sera Sil 700,pbmc,27,"Malate dehydrogenase, mitochondrial",MDH2,P40926,P40926,7.02,34.64,23.0,,
Sera Sil 700,pbmc,28,Cytochrome c oxidase subunit 6C,COX6C,P09669,P09669,7.02,32.52,2.0,,
Sera Sil 700,pbmc,29,Plastin-2,LCP1,P13796,P13796,7.01,33.98,48.0,4.92,126.01
Sera Sil 700,pbmc,30,Tubulin alpha-8 chain,TUBA8,Q9NY65,Q9NY65,6.99,33.25,14.0,,
Non-magnetic,platelet,1,Integrin alpha-IIb,ITGA2B,P08514,P08514,8.61,4.75,70.0,4.65,8970.18
Non-magnetic,platelet,2,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.45,9.99,60.0,4.78,4676.21
Non-magnetic,platelet,3,Integrin beta-3,ITGB3,P05106,P05106,8.45,3.06,50.0,4.42,10610.02
Non-magnetic,platelet,4,Histone H4,H4C1,P62805,P62805,8.4,18.52,19.0,5.08,2109.53
Non-magnetic,platelet,5,Isoform 2 of Platelet glycoprotein Ib beta chain,GP1BB,P13224-2,P13224-2,8.35,5.2,5.0,4.3,11374.15
Non-magnetic,platelet,6,Ras-related protein Rap-1b,RAP1B,P61224,P61224,8.2,4.88,6.0,4.12,11868.56
Non-magnetic,platelet,7,Isoform 2 of Filamin-A,FLNA,P21333-2,P21333-2,8.12,1.7,209.0,4.47,4431.07
Non-magnetic,platelet,8,Ras-related protein Rab-15,RAB15,P59190,P59190,8.07,4.93,2.0,,
Non-magnetic,platelet,9,Platelet glycoprotein Ib alpha chain,GP1BA,P07359,P07359,8.04,3.3,22.0,4.17,7423.59
